
Host: rh05314.villa-bosch.de

Timers On : Wed Feb  5 11:57:50 2020
Timers Off: Wed Feb  5 11:57:52 2020

Wall Time:        2.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: wK1                             :      0.017u      0.000s      0.004w     24 calls
JK: wK2                             :      0.000u      0.000s      0.000w     12 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      2 calls
UV: Form V                          :      0.467u      0.017s      0.286w      2 calls
Properties                          :      0.167u      0.000s      0.081w   1142 calls
Functional                          :      0.250u      0.017s      0.140w   1142 calls
V_xc                                :      0.050u      0.000s      0.062w   1142 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.050u      0.000s      0.038w      2 calls
JK: (A|mn)                          :      0.017u      0.000s      0.009w      1 calls
JK: (A|Q)^-1/2                      :      0.033u      0.000s      0.021w      1 calls
JK: (Q|mn)                          :      0.000u      0.000s      0.000w      1 calls
JK: (A|mn)^L                        :      0.017u      0.000s      0.005w      1 calls
JK: (A|Q)^-1                        :      0.033u      0.000s      0.020w      1 calls
JK: (Q|mn)^L                        :      0.000u      0.000s      0.000w      1 calls
JK: (A|mn)^R                        :      0.000u      0.000s      0.006w      1 calls
JK: D                               :      0.000u      0.000s      0.000w      2 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      2 calls
JK: JK                              :      0.017u      0.000s      0.006w      2 calls
| JK: J                             :      0.000u      0.000s      0.000w      2 calls
| | JK: J1                          :      0.000u      0.000s      0.000w      4 calls
| | JK: J2                          :      0.000u      0.000s      0.000w      4 calls
| JK: K                             :      0.000u      0.000s      0.002w      2 calls
| | JK: K1                          :      0.000u      0.000s      0.001w      4 calls
| | JK: K2                          :      0.000u      0.000s      0.000w      4 calls
| JK: wK                            :      0.017u      0.000s      0.004w      6 calls
| | JK: wK1                         :      0.017u      0.000s      0.004w     24 calls
| | JK: wK2                         :      0.000u      0.000s      0.000w     12 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      2 calls
UV: Form V                          :      0.467u      0.017s      0.286w      2 calls
| Properties                        :      0.167u      0.000s      0.081w   1142 calls
